USA,Boston,2018-02-17,412,,
USA,Boston,2018-02-24,397,,
USA,Boston,2018-03-03,343,,
USA,Boston,2018-03-10,354,,
USA,Boston,2018-03-17,365,,
USA,Boston,2018-03-24,329,,
USA,Boston,2018-03-31,373,,
USA,Boston,2018-04-07,323,,
USA,Boston,2018-04-14,306,,
USA,Boston,2018-04-21,343,,
USA,Boston,2018-04-28,330,,
USA,Boston,2018-05-05,308,,
USA,Boston,2018-05-12,371,,
USA,Boston,2018-05-19,344,,
USA,Boston,2018-05-26,349,,
USA,Boston,2018-06-02,337,,
USA,Boston,2018-06-09,337,,
USA,Boston,2018-06-16,341,,
USA,Boston,2018-06-23,320,,
USA,Boston,2018-06-30,314,,
USA,Boston,2018-07-07,342,,
USA,Boston,2018-07-14,330,,
USA,Boston,2018-07-21,315,,
USA,Boston,2018-07-28,311,,
USA,Boston,2018-08-04,324,,
USA,Boston,2018-08-11,318,,
USA,Boston,2018-08-18,311,,
USA,Boston,2018-08-25,307,,
USA,Boston,2018-09-01,272,,
USA,Boston,2018-09-08,307,,
USA,Boston,2018-09-15,322,,
USA,Boston,2018-09-22,331,,
USA,Boston,2018-09-29,334,,
USA,Boston,2018-10-06,305,,
USA,Boston,2018-10-13,366,,
USA,Boston,2018-10-20,318,,
USA,Boston,2018-10-27,342,,
USA,Boston,2018-11-03,332,,
USA,Boston,2018-11-10,359,,
USA,Boston,2018-11-17,340,,
USA,Boston,2018-11-24,355,,
USA,Boston,2018-12-01,305,,
USA,Boston,2018-12-08,326,,
USA,Boston,2018-12-15,386,,
USA,Boston,2018-12-22,346,,
USA,Boston,2019-01-12,362,,
USA,Boston,2019-01-19,374,,
USA,Boston,2019-01-26,401,,
USA,Boston,2019-02-02,394,,
USA,Boston,2019-02-09,400,,
USA,Boston,2019-02-16,350,,
USA,Boston,2019-02-23,348,,
USA,Boston,2019-03-02,372,,
USA,Boston,2019-03-09,395,,
USA,Boston,2019-03-16,327,,
USA,Boston,2019-03-23,329,,
USA,Boston,2019-03-30,340,,
USA,Boston,2019-04-06,352,,
USA,Boston,2019-04-13,376,,
USA,Boston,2019-04-20,352,,
USA,Boston,2019-04-27,347,,
USA,Boston,2019-05-04,347,,
USA,Boston,2019-05-11,343,,
USA,Boston,2019-05-18,316,,
USA,Boston,2019-05-25,311,,
USA,Boston,2019-06-01,320,,
USA,Boston,2019-06-08,339,,
USA,Boston,2019-06-15,328,,
USA,Boston,2019-06-22,283,,
USA,Boston,2019-06-29,329,,
USA,Boston,2019-07-06,311,,
USA,Boston,2019-07-13,337,,
USA,Boston,2019-07-20,339,,
USA,Boston,2019-07-27,316,,
USA,Boston,2019-08-03,348,,
USA,Boston,2019-08-10,311,,
USA,Boston,2019-08-17,360,,
USA,Boston,2019-08-24,339,,
USA,Boston,2019-08-31,299,,
USA,Boston,2019-09-07,318,,
USA,Boston,2019-09-14,298,,
USA,Boston,2019-09-21,302,,
USA,Boston,2019-09-28,312,,
USA,Boston,2019-10-05,367,,
USA,Boston,2019-10-12,350,,
USA,Boston,2019-10-19,332,,
USA,Boston,2019-10-26,332,,
USA,Boston,2019-11-02,357,,
USA,Boston,2019-11-09,336,,
USA,Boston,2019-11-16,348,,
USA,Boston,2019-11-23,324,,
USA,Boston,2019-11-30,394,,
USA,Boston,2019-12-07,382,,
USA,Boston,2019-12-14,386,,
USA,Boston,2019-12-21,331,,
USA,Boston,2020-01-11,373,395,-22
USA,Boston,2020-01-18,389,392,-3
USA,Boston,2020-01-25,353,389,-36
USA,Boston,2020-02-01,407,385,22
USA,Boston,2020-02-08,390,382,8
USA,Boston,2020-02-15,365,379,-14
USA,Boston,2020-02-22,405,375,30
USA,Boston,2020-02-29,364,372,-8
USA,Boston,2020-03-07,365,368,-3
USA,Boston,2020-03-14,350,365,-15
USA,Boston,2020-03-21,387,361,26
USA,Boston,2020-03-28,356,358,-2
USA,Boston,2020-04-04,364,355,9
USA,Boston,2020-04-11,468,351,117
USA,Boston,2020-04-18,725,348,377
USA,Boston,2020-04-25,893,345,548
USA,Boston,2020-05-02,826,342,484
USA,Boston,2020-05-09,662,339,323
USA,New_York_City,2015-01-10,1165,,
USA,New_York_City,2015-01-17,1221,,
USA,New_York_City,2015-01-24,1189,,
USA,New_York_City,2015-01-31,1200,,
USA,New_York_City,2015-02-07,1186,,
USA,New_York_City,2015-02-14,1209,,
USA,New_York_City,2015-02-21,1174,,
USA,New_York_City,2015-02-28,1163,,
